Event Name,Description,Start,End,Location,City,Event URL,Full_Description,organizer_link-href
Liz Tran + Sophia Li: The Karma of Success,Join us for an in-person event with executive coach Liz Tran for a discussion of her new book The Karma of Success.,"July 26, 2023, 7pm","July 26, 2023, 10pm","828 Broadway 3rd Floor, Rare Book Room New York, NY 10003",NYC,https://www.eventbrite.com/e/liz-tran-sophia-li-the-karma-of-success-tickets-649189121137,"Join us for an in-person event with executive coach Liz Tran for a discussion of her new book The Karma of Success: Spiritual Strategies to Free Your Inner Genius. Joining Liz in conversation is journalist Sophia Li. This event will be hosted in the Strand Book Store's 3rd floor Rare Book Room at 828 Broadway on 12th Street.Can’t make the event? Purchase a signed copy of The Karma of Success here. STRAND IN-PERSON EVENT COVID-19 POLICY:Masks and vaccination checks are not required for entry.Attendees are welcome to wear a mask if they choose. If you do not have a mask and would like one, The Strand will provide masks at the door.Please note this is subject to change any time before or during the event per the author’s request. --------------------------------------------------------------------Fulfill your innermost dreams and ambitions by turning up the volume on your intuition and re-connecting with your Inner Genius.Most of the traditional advice about getting ahead focuses on managing other people’s impressions of you. It’s all about how to network with impressive people and accommodate yourself to people with status and power.Executive coach Liz Tran asks you to forget about those people, and instead, train yourself to listen to and be guided by your innermost voice. From tech to spiritual leadership and executive coaching, Tran has charted her own path by learning how to tune into her intuition and be true to her Inner Genius.Informed by ancient sources of wisdom like Zen, Reiki, astrology, and Stoicism, The Karma of Success invites you to validate the unique goals and ambitions you set for yourself and ultimately, are destined to achieve. You’ll learn the Four Pillars of Spiritual Strategy—inquiring inward, manifesting mindfully, enriching your energy, and becoming brilliant—and be guided by the stories of people who have looked inward to find meaning and success.So whether you’re trying to start your own business, heal your inner child, or just figure out how to get through the next Mercury in retrograde, The Karma of Success will help you find your way.Liz Tran is the founder of Reset, an executive coaching company to CEOs and founders. She's also the creator of the podcast, Reset with Liz Tran, and the popular Instagram account, @ResetNYC. Before founding Reset, Liz spent over a decade working in the tech industry, most recently as the only female executive at a leading venture capital firm. She is a trained meditation teacher and Reiki Master and studied yoga at the Samyak Ashram. Photo credit: Makeda StanfordSophia Li is a Chinese-American award-winning journalist, climate advocate. Her life’s work is to make talking about issues such as climate justice, human rights and web3 more accessible, more digestible, and more human— redefining how information is communicated in the 21st century while cutting through the content pollution. Harvard named her one of the top climate communicators of 2022 and she was awarded Refinery29’s Sustainable Innovator Award. 	She is the host of Meta’s podcast, Climate Talks. Sophia's journalistic reporting has appeared in CNN, Earthshot Prize and the United Nations with bylines in Vogue, New York Magazine, Washington Post, and Atmos. She is the co-founder of STEWARD, serving as the co-chair of the World Economic Forum’s Web3 Sustainability Coalition. Sophia is also the sustainability advisor to skincare brand Cocokind and an official United Nations Human Rights Champion.Sophia was previously the Entertainment Media Editor at American Vogue helping to create Vogue’s digital and social voice.Photo credit: David Cabrera",https://www.eventbrite.com/o/the-strand-book-store-30058841244
Portside: Plant Repotting,"Getting repotted! Come out to Portside for a hands-on workshop on repotting plants that covers topics like native climates, watering techniques, proper fertilization, and more. Taught by industry-leading horticulturalists local to NYC, you will leave with a whole new understanding of planting and sustainability! After class, take a peek inside the Winter Garden to see Miya Ando’s installation, “Flower Atlas,” on view through September 14.","July 12, 2023, 5:30 PM","July 12, 2023, 7:30 PM","Waterfront Plaza at Brookfield Place, 230 Vesey Street New York, NY 10281",NYC,https://www.eventbrite.com/e/portside-plant-repotting-tickets-638320111637,"Getting repotted! Come out to Portside for a hands-on workshop on repotting plants that covers topics like native climates, watering techniques, proper fertilization, and more. Taught by industry-leading horticulturalists local to NYC, you will leave with a whole new understanding of planting and sustainability! After class, take a peek inside the Winter Garden to see Miya Ando’s installation, “Flower Atlas,” on view through September 14.Visit BFPLNY.com/Portside for a full calendar of events.For any questions about events at Portside, please email brookfieldnyc@thebrandguild.com.Please arrive no more than 15 minutes after the event start time to redeem your ticket. After 15 minutes, your ticket will be forfeited to guests on the waitlist and onsite.",https://www.eventbrite.com/o/brookfield-place-new-york-17888929039
Investors for Climate Tech - New York, The Exclusive Event by The Atlas Capital & SEA Climate Tech Coalition.," Wednesday, September 6, 2023, 3:00 PM"," Wednesday, September 6, 2023, 8:00 PM"," to be announced New York City, NY 10001",NYC,https://www.eventbrite.co.uk/e/investors-for-climate-tech-new-york-tickets-643580806517,"🌍 Exclusively for invited guests, Atlas Capital presents a private Climate Tech Coalition Event that offers an intimate and engaging gathering tailored to family offices, ultra-high net worth individuals, and public sector leaders who are actively engaged in sustainability.🚀 Don't miss the chance to network with active family offices and Ultra High Net Worth Individuals who are passionate about investing in the cutting-edge climate tech industry. This is an exclusive opportunity to foster meaningful relationships and share valuable dealflow.🤵👩‍💼 Past attendees have included industry leaders from PTT ExpresSo, Gulf Energy Development, Bangkok Industrial Gas (BIG), Siam Motors Group (SMG), Siam Cement Group (SCG), BTS Group, Energy Absolute, New World Development, etc.🌱 The roundtables participate in conversations related to a range of sustainability areas, including deep climate technology, storage solutions for electric vehicles, capturing air directly, eco-friendly manufacturing, sustainable agriculture, advancements in ocean-related technologies, water technologies, circular economy practices, and other related topics.🎉 Join us for a night of networking and knowledge sharing in a relaxed and informal setting. The event will take place in New York, a vibrant city at the forefront of sustainable initiatives.📍 L﻿earn more: https://www.theatlascapital.com/",https://www.eventbrite.co.uk/o/the-atlas-capital-66443399703
IC Athletic Club: bodyART,"The bodyART method is a physical therapy based approach to movement training or PTBT. Our objectives are injury prevention, pain reduction and sustainability for your knees, hips, shoulders, ankles, elbows and spine. You will leave class sweaty, energized, and feeling amazing! Also great for people looking to improve their cardiovascular stamina, strength, flexibility, mental focus and concentration in a holistic and non-abusive environment.","July 3, 2023, 5:30 PM","July 3, 2023, 6:30 PM","237 36th Street 2nd Floor Brooklyn, NY 11232",NYC,https://www.eventbrite.com/e/ic-athletic-club-bodyart-tickets-656606887877,"You must fill out this form here before the class and follow all COVID-19 protocol in order to attend the class.RSVP required.The bodyART method is a physical therapy based approach to movement training or PTBT. Our objectives are injury prevention, pain reduction and sustainability for your knees, hips, shoulders, ankles, elbows and spine. You will leave class sweaty, energized, and feeling amazing! Also great for people looking to improve their cardiovascular stamina, strength, flexibility, mental focus and concentration in a holistic and non-abusive environment. *Classes will be held in Courtyard 5/6 on the turf.  If there is rain in the forecast, class will be held indoor at the IC Athletic Club (237 36th Street).*Please show the Eventbrite confirmation with signed liability forms to the instructor and sign in on the sheet.  No walk ins. *Please bring your own mats, towels, water, and appropriate shoes/clothing. About the venue:Industry City is a one-stop destination of experiences, eateries, events and everything in between. An historic intermodal city, IC is comprised of 16 buildings, built on 35 acres of repurposed industrial space. The waterfront green spaces, immersive retail, and public art installations make for an entire day of discovery. Learn more about food + drink, art and events at IC here.",https://www.eventbrite.com/o/industry-city-18094224115
Sustainable Landscape Design,"This full-day, hands-on workshop is for individuals wishing to create landscapes that are stunning and earth-friendly","July 14, 2023, 8:30am - 4:30pm","July 14, 2023, 8:30am - 4:30pm",Duke Farms,NYC,https://www.eventbrite.com/e/sustainable-landscape-design-tickets-576329997537,"Course OverviewThis course focuses on weaving sustainable ecological concepts into traditional residential design. It also includes graphics instruction to communicate ideas efficiently and boldly on paper. Content centers on the paradigm of curvilinear drift design and encourages the use of native plantings that are both aesthetically pleasing and environmentally sustainable. Materials ProvidedC﻿ircle templateD﻿rafting pencils (8B, HB, 4H) E﻿raser and erasing shieldF﻿lexible curveT﻿racing paperG﻿riddled vellum1﻿00 page workbook Featured TopicsEnvironmentally responsive designAnalyzing site and client needsR﻿esponsive plant selecion G﻿raphics for plants and drifts Continuing Education CreditsDesigning the Environmentally Responsive Landscape is approved for credits from the following organizations. American Society for Landscape Architecture Continuing Education System: 7 creditsAbout the InstructorDr. Richard Ludwig is a 40+ year career educator named Instructor of the Year at Gwinnett Technical College, Georgia Educator of the Year by the Georgia Green Industry Association and Technical Educator of the Year by Georgia Commercial Flower Grower's Association. He is the former host of GardenSmart, a national PBS television show, garden specialist for Southern Living magazine and national spokesperson for MiracleGro potting soils.PrerequisitesN﻿/AProgram GuidelinesPlease stay home if you are sick. Pre-registration is required, walk-ins will not be accepted. No refunds and no exchanging or transferring tickets. Please note that each participant must be registered. Unless otherwise noted, ALL programs at Duke Farms are RAIN or SHINE. Please contact registrations@dukefarms.org with any questions.",https://www.eventbrite.com/o/duke-farms-7459403857
Park Tours: Compost Center,Take a tour of our Compost Center with the Park’s compost experts and learn how you can support local sustainability!,"September 7, 2023, 6:00 PM","September 7, 2023, 7:00 PM","W 34 St & 12 Av, Hudson River Greenway New York, NY 10011",NYC,https://www.eventbrite.com/e/park-tours-compost-center-registration-644380699017,"Hudson River Park’s Community Compost Program invites local residents to participate in simple yet effective actions to support sustainability in their neighborhood. The Community Compost Program is an initiative designed by Hudson River Park to help divert NYC’s organic waste from landfills and reduce carbon emissions that harm the environment. Since its earliest composting efforts in 2015, the program has grown into a Park-wide operation, turning over 500,000 pounds of food scraps and yard waste into compost each year. Learn how food scraps and yard waste are processed into nutrient-rich compost that supports healthier plant beds and reduces our carbon footprint. Directions : Cross at W 34 St and 12 Ave and walk south on the walkway.",https://www.eventbrite.com/o/hudson-river-park-9597077555
13th Annual International Gold and Diamond Conference,"Artisanry and responsible practice. What roles do they play in achieving jewelry, diamond, and precious metal sector goals for 2030?","July 17, 2023, 5:00 PM","July 19, 2023, 5:00 PM","Bohemian National Hall, 321 East 73rd Street Between 1st and 2nd Ave New York, NY 10021",NYC,https://www.eventbrite.com/e/13th-annual-international-gold-and-diamond-conference-tickets-539647087967,"WHY JOIN US AT THIS, ""THE PREMIER SYMPOSIUM""?""IAC's conference...is a must for anyone looking to get in-depth insight into a wide range of industry trends spanning from sustainability and ethical sourcing to technological developments in today's ever more demanding consumer, social, and legal environments.""David Sarine, CEO SarineNETWORK with your peers, colleagues, jewelry industry luminaries, and leaders in sustainabilityBE IN THE KNOW regarding major developments in ethical sourcing and responsible practiceSTAY AHEAD of developments in technology, manufacturing, and new business modelsGAIN INSIDER INSIGHTS on new approaches to social media, digital marketing, and training for the future.Join leading experts in Maintaining Purpose, a wide-ranging look at the jewelry, precious metals, and diamond industries. Jewelry is our lens, with a twin focus on artistry and responsible practice. A focus, we suggest, unique to IAC.All of us, from those upstream in supply chains to those realizing an artistic vision in fine jewelry, must maintain purpose: we must do the work, ever-committed to effecting the change we seek.Thus, conscious of the imperative to balance the needs of current and future generations, we explore varied declarations of purpose and principle on responsible practice and cultural preservation and how to harmonize and operationalize them, taking action, driven by aspiration. We consider new technologies for extraction and sourcing, new mine-to-market models, and new approaches to training, whether the next generation of jewelers or miners. Always with an eye to meeting evolving environmental and climate challenges.Perhaps most fundamentally, we investigate the critical question of what constitutes luxury in an age of responsible practice.During the conference, IAC will present its 6th annual award for Leadership in Responsible Practice and 3rd annual award for Extraordinary Contributions to the Diamond and Jewelry Industries.The conference kicks off with a welcoming reception at Heritage Auctions New York located at 445 Park Avenue with remarks by Roberta Kramer, Vice President, Strategy & Business Development at Heritage. CIBJO is IAC’s Conference Partner for Maintaining Purpose.A full confrerence agenda can be found on the artinitiatives websitehttps://artinitiatives.com/2023-gold-diamond-conference-maintaining-purpose/Confirmed participants (as of June 26, 2023)Jewelers Laís Demarchi, Richard Fiszman, Silvia Furmanovich, Satta Matturi, and Pippa SmallNanz Aalund (Goldsmith, jewelry designer, and author, “Masters: Gold” and “A Jeweler’s Guide to Apprenticeships”)Gracelin Baskaran (Nonresident Fellow – Global Economy and Development, Africa Growth Initiative, University of Cambridge)Rob Bates (News Director, JCK)Charlie Betts (Group Managing Director, The Betts Group)Edward Bickham (Senior Advisor, World Gold Council)David Block (CEO, Sarine)Aimee Boulanger (Executive Director, IRMA)Brecken Branstrator (Editor-in-Chief, Gemworld International, Inc.)Suzanne Brooks (Senior Standards Manager, Responsible Jewellery Council)Brad Brooks-Rubin; Senior Advisor, US Department of StateKristina Buckley Kayel (Managing Director,  Natural Diamond Council, North America)Gaetano Cavalieri (President, CIBJO)Allison Charalambous (VP, Responsible Sourcing and Sustainability, Brilliant Earth)Olivier Demierre (President, Swiss Better Gold Association; Senior Vice President Corporate Social Responsibility, MKS PAMP)Luis E. Fernandez (Executive Director, CINCIA; Research Associate Professor of Biology, Wake Forest University)Romy Gakh–Baram (Global Marketing & Brand Director, Sarine)Susie Ganch (Virginia Commonwealth University; Founder/Director, Radical Jewelry Makeover)Shari Gittleman (Senior Director, External Relations, Newmont Mining Corporation)Mark Hanna (CMO, Richline Group)Sabrina Karib (Founder, Precious Metals Impact Forum)Susan Keane (Senior Director of Global Advocacy, Natural Resources Defense Council; Global Coordinator, Planet Gold)Lisa Koenigsberg (President, IAC)Johanna Levy (Vice President, Environmental, Social, and Governance (ESG) Programs, GIA)Debora Lucki and Camilla Guimãraes (co-founders + partners, Julls)Adriano Mol (Head, Center for Gemstone and Jewelry Design, University of Minas Gerais State; Brand & Product Development, Cruzeiro Mine)John Mulligan (Director and Climate Lead, World Gold Council; President, Sustainable Development Commission, World Jewellery Confederation/CIBJO)Mark Nelson (Education Coordinator, Rio Grande)Douglas Neves (CEO, Cruzeiro Mine)Rachel Perks (Senior Mining Specialist, Energy and Extractives Department, Global Practice, World Bank)Toby Pomeroy (Mercury Free Mining)Jean Poh (CEO, CADAR)Kevin Reilly (Senior Vice President, PGI USA)John Richmond (Founder, Sluice Goose Industries; inventor of Goldrop)Gwynne Rukenbrod Smith (Senior Director of Programs and Partnerships, American Craft Council)Matt Saunders (Helena)Jennifer Shanker (founder, MUSE)Tiffany Stevens (CEO/President, Jewelers Vigilance Committee)Ruby Stocklin-Weinberg (Program Manager, GemFair, De Beers)Kevin Telmer (Executive Director, Artisanal Gold Council, Victoria, BC)Cristina Villegas (Director, Mines to Market, Pact)Lorraine West (Jewelry designer; member, Black in Jewelry Coalition [BIJC])Sara Yood (Deputy General Counsel, Jewelers Vigilance Committee)Register online: https://iacgold2023.eventbrite.com or call 646-485-1952",https://www.eventbrite.com/o/initiatives-in-art-and-culture-1852643355
Vision Zero Cities,"Vision Zero Cities brings together leading industry and policy experts, advocates, and elected officials from across the nation","October 18, 2023, 10:00 AM","October 20, 2023, 6:00 PM","New York University Rosenthal Pavilion, 60 Washington Square South New York, NY 10012",NYC,https://www.eventbrite.com/e/vision-zero-cities-tickets-662598669457,"Transportation Alternatives is excited to host the 10th Annual Vision Zero Cities from October 18 - 20, 2023 at New York University in partnership with the Rudin Center for Transportation Policy and Management at NYU Wagner. Vision Zero Cities convenes hundreds of leaders from around the world who are committed to creating safer streets for everyone. Together, we aim to foster the exchange of ideas, share innovative approaches to street design, traffic management, and policy, and explore strategies to enhance safety, equity, and resiliency in our cities.The urgency for Vision Zero has never been greater. Expect dynamic programming with keynote speakers, field tours, breakout sessions, and networking opportunities with like-minded professionals. You will gain valuable insights, learn from international best practices, and discover cutting-edge solutions that can be applied in your own city or organization. Together, we can make a significant impact and strive towards a future where no loss of life or serious injuries occur on our streets.",https://www.eventbrite.com/o/transportation-alternatives-65289861063
Summer Meet Up in the Park,Join Latinxs in Sustainability for an evening of in person networking in the park!,"July 18, 2023, 6:30pm","July 18, 2023, 8:30pm","Washington Square NYC, NY 10012",NYC,https://www.eventbrite.com/e/summer-meet-up-in-the-park-tickets-664853072437,"Join Latinxs in Sustainability for an evening of in person networking in the park!

We are thrilled to announce our second in-person event this year! Join Latinxs in Sustainability on July 18 at 6:30pm EDT for a Summer Meet Up in the Park! 

You're invited to this after work hang at Washington Sq where we will connect with other professionals in or interested in the sustainability industry!

As always we are hoping to foster some meaningful connections within our community! About LISLatinxs in Sustainability is made up of a group of professionals determined to address and reduce the barriers that have led the environmental and climate field to be among the least ethnically and racially diverse across all disciplines. Our goal is to establish and facilitate pathways for underrepresented and under-resourced Latinx communities in an effort to diversify the sustainability workforce.


We hope you will join us and share this event with others! For future events follow us on Instagram or join our LinkedIn group, and check out our webpage here!",https://www.eventbrite.com/o/latinxs-in-sustainability-34248779935
Net Zero Value Chains,Enabling collaboration to unlock value chain decarbonisation at scale,"September 20, 2023, 4:00 PM","September 20, 2023, 8:00 PM","Apella by Alexandria, 450 East 29th Street New York, NY 10016",NYC,https://www.eventbrite.com/e/net-zero-value-chains-tickets-650841844477,"Net Zero value chainsEnabling collaboration to unlock value chain decarbonisation at scaleFor many companies, Scope 3 emissions account for more than 75% of their carbon footprint - rising to as much as 99% for some sectors. Tackling these emissions is critical if we are to make Net Zero a reality, and while large corporates are setting Scope 3 targets and committing to decarbonizing their value chains, many businesses are still struggling to take action.Scope 3 emissions are by nature a collective challenge, and a complex one. Getting  answers and solutions to achieve Scope 3 emission reductions and credibly report on the impact achieved is an absolute priority, and it has been a key focus of the Value Change Initiative since 2017. Since then, we have focused on making Scope 3 operationable trough the implementation of Market Based Mechanisms. On September 20, join us for Climate Week’s premier Scope 3 event. Together with leading experts and companies, let’s explore and discuss solutions to accelerate action when traceability is imperfect, enable collaboration and partnerships, and make Net Zero value chains a reality in today’s Scope 3 landscape.",https://www.eventbrite.com/o/value-change-initiative-46407352313
FoodHack NYC Meet Up: Advances in Agriculture,Join us for our FoodHack NYC Meetup in collaboration with Newlab for a discussion about advances in agriculture!,"July 12, 2023, 6:30 PM","July 12, 2023, 8:30 PM","Newlab, 19 Morris Ave Brooklyn, NY 11205",NYC,https://www.eventbrite.com/e/foodhack-nyc-meet-up-advances-in-agriculture-tickets-661755627897,"Join us for our next FoodHack NYC meetup in collaboration with Newlab! Hear a panel of experts discuss advances in agriculture and how new technologies are reframing our food system.  T﻿his event will feature speakers from Re-Nuble, Farmshelf and more! FoodHack meetups are for entrepreneurs, professionals, investors and food enthusiasts to network and hear from food industry speakers.Whether you're just starting your food business, looking to connect with startups to invest in or want to network with other like-minded professionals - this event is for you.K﻿ey Details:Topic: Advances in Agriculture: how new technologies are reframing our food systemDate:  Wednesday, July 12Hour:  6:30pm-8:30pm ETLanguage: English V﻿enue: Newlab, Brooklyn Navy Yard, 19 Morris Ave, Brooklyn, NY 11205, United StatesA﻿genda:Introductions from FoodHack NYC and NewlabPanel and Q&AP﻿itches from the audienceFood from our incredible local partners and networkingPitch: Are you launching a new product? Are you looking for your next R&D expert or your next CEO? Are you looking for a job or an internship? Join our 30-second pitch session and share your business update with the audience (open to anyone). About the Organizer:FoodHack is a community-driven platform that inspires, highlights and connects food entrepreneurs and innovators. With meetups across the globe, a bi-weekly food industry newsletter, a membership program and an annual summit.About the Host:Newlab is a center of invention applying innovation to some of the world’s most complex challenges in mobility, energy, and materials. The heart of Newlab is its community of inventors, engineers, scientists and entrepreneurs collaborating with partners across industries and sectors. Newlab pairs these solvers with challenges and fosters a culture of relentless incrementalism applied to real-world problems to build, test and scale world-changing solutions.About the Panelists:Tinia Pina - Founder & CEO of Re-Nuble Inc.Tinia Pina has a B.S. in Business Information Technology from Virginia Tech. She began her career in sustainability as a former student pursuing a Masters of Science degree at Columbia University prior to becoming the CEO and Founder of Re-Nuble, Inc., an agricultural technology company and social enterprise headquartered in New York City. A strong advocate for sustainable waste management and closed loop agriculture, she has been involved in management and business development roles within the sustainability industry for at least ten years and in finance for eight years. Her professional interests focus on using unique and distributed technologies to extract the optimal value from organic waste streams for closed-loop agriculture for growers.Jessica Monte - Head of Product, R&D at FarmshelfJessica Monte began her career in sustainability in 2014 as a research assistant on a grant funded by The Sustainable Agriculture Research and Education (SARE) program, while obtaining her B.S. from the Department of Plant Science and Plant Pathology at Montana State University. She has over a decade of experience in environmental science, and has spent the last 7 years immersed in the hardware and technology verticals. It was the symbiosis of the aforementioned industries that drew her to the plant science department of Farmshelf in 2018. Marrying hydroponic grow techniques with modular hardware and intelligent software, farmshelf aims deliver the ultimate growing experience for corporate food service, restaurants, schools, and individuals. Jessica is now the Head of Product, R&D at Farmshelf. She is a huge advocate for academic and industry collaboration. She believes that the advantages that are gained in their coexistence are inextricably linked for creating a path to a sustainable future. Sara Nejad (moderator) -Product Realization Specialist at NewlabSara is an innovation strategist, specializing in the convergence of design thinking, biology, and systems thinking. At Newlab, she spearheads the applied life science program and biolab, facilitating interdisciplinary innovation and fostering a diverse and collaborative network of biotech innovators in NYC and beyond.Sara holds a Master of Science in Integrated Design and Media from NYU, where she focused on circular design and sustainable food systems. An experienced educator, she has taught a graduate course in Biodesign at NYU, and conducted workshops on speculative and multispecies design at the MIT MediaLab and Genspace.There will also be a number of innovative food brands sampling their delicious creations! From mouthwatering pizza (@LaRossi) and vegan jerky (@jackandfriends), to delectable vegan sweet treats (@mmmly, @eat.edies & @eatschmutz) and tasty drinks (@bubluv, @brooklyncannery, @tomorrowfarms)  Come hungry!T﻿his event is free but registration is mandatory. Please let us know if you can't attend so we can release your ticket for someone else. Thank you!",https://www.eventbrite.com/o/foodhack-13624342445
NYASG Summer Soiree,"Join us for our sixth NYASG Summer Soiree on Tuesday, July 11th, from 5:30-7:30PM","July 11, 2023, 5:30 PM","July 11, 2023, 7:30 PM","The J.M. Kaplan Fund, 71 West 23rd Street #903 New York, NY 10010",NYC,https://www.eventbrite.com/e/nyasg-summer-soiree-tickets-652363666287,"Join us for our sixth New York Area Sustainability Group Summer Soiree on Tuesday, July 11th, from 5:30-7:30PM at The J.M. Kaplan Fund.
We invite all NYASG members to come together to celebrate the summer, discuss latest sustainability trends and share ideas for potential event topics. There will be no speakers at this gathering, but we hope it sets the stage for future events and collaborations.
We’ll enjoy an evening of appetizers and drinks. Please note that SPACE IS LIMITED. 
Thanks and we hope to see you there! 
Elizabeth, Josh, Claire, and Rose",https://www.eventbrite.com/o/new-york-area-sustainability-group-17590580114
"The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","The Nest Climate Campus, the Official Event Partner of Climate Week NYC, Creates a Community for Accelerating Climate Action.","September 19, 2023, 8:30am","September 21, 2023, 5:30pm","Javits Center, 445 11th Avenue New York, NY 10001",NYC,https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977,"The Nest Climate CampusThe Nest Climate Campus,  home to hundreds of sustainable brands, businesses, individuals, and organizations, provides a unifying destination for climate action during Climate Week NYC.  We aim to accelerate climate solutions through collaboration and community. That’s why The Nest Climate Campus hosts cutting-edge discussions on the Main Stage, partners with leading organizations to bring Co-hosted Events under one green roof at the Javits Center, and bolsters rich networking opportunities through the various community engagement activities.It's all happening at the Javits Center during Climate Week NYC (September 19 - 21, 2023). About The Main StageWith your complimentary ticket, access the brightest minds and most committed organizations of the climate solutions movement! The Nest Climate Campus's Main Stage brings thought-leaders from leading organizations and the climate community together for two full days of education, inspiration, and collaboration. About The Campus Community Engagements & HappeningsConnecting communities is paramount at The Nest Climate Campus. In addition to the Summit Main Stage conference and Co-hosted Meetings & Events, attendees will enjoy extended community engagement activities. Partake in the many opportunities to explore, network, and feast!CLIMATE COLLECTIVEActivations and Networking Spaces Provide an Environment for Connecting with Colleagues and Discovering Climate Solutions. CLIMATE ARTSDesigned to Inspire, Immerse Yourself in the Intersection of Art and Action.GREEN ROOF TOURSThe Javits Center will be offering free tours of its 6.75-acre green roof, one of the largest of its kind in the United States! GARDEN EATERYAdjacent to the Javits' rooftop farm, orchard, and gardens, feast on a plant-based menu with vegan and vegetarian options for breakfast and lunch, and learn something new! Experience the circular story around the Javits food management system – from roof to table, local sourcing, and waste management. SPECIAL APPEARANCESHear from some of the most influential thought-leaders in the New York government and NGOs who are championing legislation and community service.  Please see our health & safety policy before arriving to the event. By registering for The Nest Climate Campus event, you agree to the event organizer's photo & video policy and privacy policy.",https://www.eventbrite.com/o/nxt-events-media-group-33584111599
VEGAN NIGHT MARKET,"Get ready to taste the best of plant-based cuisine at NYC's first-ever Vegan night market! On June 27th, Wollman Rink in Central Park will host an event featuring the city's top vegan vendors, live music, and rotating food and product tastings","June 27, 2023, 4:00 PM","June 27, 2023, 10:00 PM","Wollman Rink, 830 5th Avenue New York, NY 10065",NYC,https://www.eventbrite.com/e/vegan-night-market-tickets-608742012747,"Good For You; Good For The Planet Get ready to taste the best of plant-based cuisine at NYC's first-ever Vegan night market! On June 27th, Wollman Rink in Central Park will host an event featuring the city's top vegan vendors, live music, and rotating food and product tastings.M﻿ore information...From 4 pm, come to Midtown Manhattan and experience a vibrant, one-of-a-kind atmosphere while exploring an impressive range of vegan delights. Discover delicious food and drink options from local artisans, sample new vegan products, and connect with like-minded individuals who share your passion for sustainability and ethical living.Whether you're a seasoned vegan or just curious about the lifestyle, there's something for everyone at the NYC Vegan Night Market. Come for the food, stay for the fun, and leave feeling inspired to make positive changes in your life and the world around you. Take advantage of this exciting opportunity to celebrate all things vegan in the heart of the city!",https://www.eventbrite.com/o/mhg-events-20097474390
Wall Street Green Summit 2024,"The 23rd Annual Wall Street Green Summit will focus on ESG Investing, Carbon Trading, Clean Energy, Energy Storage and Nature-Based Solution","March 12, 2024, 7:00 AM","March 13, 2024, 5:30 PM","Cornell Club, 6 East 44th Street New York, NY 10017",NYC,https://www.eventbrite.com/e/wall-street-green-summit-2024-tickets-608775322377,T﻿his two day event will focus on technology and finance solutions to climate change. Over 40  climate solutions  practitioners will share their knowledge and insights with the audience. Superior networking opportunities as well as business development is the heart of the Wall Street Green Summit event and community.,https://www.eventbrite.com/o/peter-fusaro-38687458703
Redefining Success: Insights from Women in Tech,Women at Riskified's first meetup in NYC! Join us for an inspiring evening with even more inspiring women!,"July 17, 2023, 6:00 PM","July 17, 2023, 8:30 PM","Riskified, 220 5th Avenue #2nd Floor New York, NY 10001",NYC,https://www.eventbrite.com/e/redefining-success-insights-from-women-in-tech-tickets-668750910977,"A﻿genda:18:00-18:30 - Welcome: food and drinks18:30-18:35 - Opening18:35-19:05 - Annette Dvorak, Senior Director of Account Management, Riskified19:05-19:35 - Shani Benjamin, Manager of Customer Success, Zoom19:35-20:05 - Oshrat Goldberg,  Director of Strategy & Operations, Ribbon Health20:05-20:30 - More minglingWomen at Riskified proudly presents ""Redefining Success: Insights from Women in Tech"". This engaging event invites you to gain valuable perspectives from accomplished women who have excelled in their careers while navigating various challenges. Join us for an enlightening evening as our esteemed speakers share their expertise and experiences.Annette Dvorak, Senior Director of Account Management at Riskified, will delve into the art of negotiation skills and effective communication styles when interacting with managers. Learn invaluable tips and strategies to navigate professional relationships and elevate your impact within your organization.Shani Benjamin, Manager of Customer Success (Majors) at Zoom, will shed light on the ever-elusive work-life balance, exploring the different stages of life and how to manage the demands of a tech career while nurturing personal well-being. Discover actionable insights for creating harmony and finding fulfillment in both your personal and professional life.Oshrat Goldberg, Director of Strategy & Operations at Ribbon Health, will share her inspiring journey of a career change and path exploration. Gain valuable insights into successfully navigating transitions, acquiring new skills, and forging a fulfilling career in the dynamic tech industry.Join us for an evening of inspiration, knowledge, and networking as we redefine success together. Don't miss out on this unique opportunity to learn from accomplished women and gain insights that will propel your own professional journey! *﻿All talks will be in English",https://www.eventbrite.com/o/riskified-49612099603
