Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Extra2,Source CSV,Full_description,organizer_link,organizer_link-href,full_description,web-scraper-start-url,event_details,event_details-href,Link,Full_Description
American River,Take a trip along the Passaic River in American River,2023-06-07 18:00,2023-06-07 20:30,"The Hackensack Performing Arts Center, 102 State Street Hackensack, NJ 07601",Hackensack,FALSE,https://www.eventbrite.com/e/american-river-tickets-612357235977,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Northern New Jersey Community Foundation,https://www.eventbrite.com/o/northern-new-jersey-community-foundation-65413289053,"Take a trip along the Passaic River in American River, an entertaining and inspiring film that explores stories by community members about one of the nation’s most troubled waterways. Chat with the film’s producer and learn about the Northern New Jersey Community Foundation’s environmental protection programs – and how you can get involved. Then feel free to join us afterwards for a fun reception at HACPAC.The Northern New Jersey Community Foundation is leading efforts to address stormwater flooding and the impacts of climate change along the Hackensack River and in Hackensack in particular. We are offering this screening to help inspire ideas for our hometown river and to help launch the Hackensack River Nation initiative.Your ticket will help support the Foundation’s work in environmental protection, environmental justice, and in building collaborations to address other pressing issues affecting communities in northern New Jersey. A portion of your ticket proceeds will also help support the Hackensack Performing Arts Center.About American River:Mary Bruno spent her childhood along one of the most polluted waterways in America. Decades later, she returns to kayak the river of her youth and tell its story.AMERICAN RIVER is a new 86-minute documentary film that follows Ms. Bruno and guide Carl Alderson on a 4-day, 80 mile adventure down the Passaic River, from its pristine source in a wildlife refuge to its toxic mouth in Newark Bay. The river’s amazing history, geology and ecology are revealed as the kayakers navigate challenges, travel through urban landscapes and head towards the industrial disaster that has poisoned the Passaic for the past 60 years.Along the way, the filmmakers engage residents, historians and advocates in candid conversations that bring insight, urgency and a sense of wonder to the story. How did the Passaic become one of the most contaminated rivers in America? Can it be saved? The Passaic is an archetype for thousands of rivers across America facing similar reckonings.After the documentary, you can ask questions of the movie’s producer, Scott Morris and the Hackensack Riverkeeper, Captain Bill Sheehan. Share your thoughts about how communities on and around the Hackensack River can be greener and healthier and better connect residents to their hometown river. Then join us for a reception in HACPAC’s art gallery.This program is sponsored by Visions Federal Credit Union. If you are interested in helping to sponsor this event, please contact NNJCF Executive Director Leonardo Vazquez at leo@nnjcf.org or 201-568-5608, x1.",,,,,
Baldwin's Ni$$er - play reading,"A play by Reginald T Jackson. One night only reading about the life, love and struggles of national treasure James Baldwin.",2023-06-10 19:00,2023-06-10 20:30,"151 W. 30th St 3rd Floor New York, NY 10001",New York,TRUE,https://www.eventbrite.com/e/baldwins-nier-play-reading-tickets-635579083147,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,The Sixth Festival,https://www.eventbrite.com/o/the-sixth-festival-46517558393,"The third annual Sixth Fest, a climate change fringe festival aiming to help stop the destruction of the planet with events of all kinds from participants in New York and beyond, presents an exciting reading of..Baldwin's Ni$$erby Reginald T Jackson90 minutes. 2 person show.About:Approached by a white male, stranger offering a million dollars for the Civil Rights Movement, Baldwin invites this friend or foe to his room at midnight. They immediately spar like prize fighters trying not to get hit, but provocation leads to conflict and lust. Will both get what they want or will someone be exposed and left in a fetal ball of defeat?With a former Off Broadway run at the Strawberry Theatre Festival and a debut in the nation's capitol at The DC Black Theatre Festival, Jackson and the Sixth Fest are excited to once again present this prophet's timeless perspective in New York.Reviews:""...what makes Baldwin’s Ni$$er such a rewarding theatrical experience is not this sensational twist but the adroit way the play as a whole teleports to us the brilliance of James Baldwin. For this much credit is due to..Reginald T. Jackson’s engrossing script..."" DC METRO REVIEW ""A play well worth seeking out."" GUEST SCRIBEAbout the Author:In 1994 Mr. Jackson was named a National Shakespeare Pioneer by the New York Shakespeare Festival of the Joseph Papp Public Theater for HOUSE OF LEAR. He has also received a New York City Mayor's Citation and an Arts and Cultural Foundation Award for his work in Arts-In-Education -- teaching creative writing throughout the New York City School System. His play STRAIGHT BOYS was named the best gay play of the decade by the New York City Gay Cable Network. He was commissioned to write and direct a musical on the life of Aretha Franklin, ""ARETHA: Queen of Soul"" by the St. Pauli Theater of Hamburg Germany, and a musical based on 70's R&B group, The Emotions, BIGGER THAN BUBBLE GUM, for Lincoln Center. His play, LOVESICKNESS has been used as a teaching tool at NYU. His Books THIS MORNING I WOKE UP BLACK and HEJIRA: From Cradle To Grave were both nominated for the 2008 AND 2009 Lambda Literary Foundation's Poetry Award. They are both available through online book retailers.PLAY'S WEBSITE and information on further booking.About the Festival:Named after the sixth mass extinction event currently underway, the Sixth Fest has put on more than 40 events and productions in New York, Chicago, and online. From poetry to panels, pageants to protests, we are a fringe festival both in that we encourage people to create their own events, and that those events can be of whatever kind. For all life on earth.FIND OUT MORE ABOUT THE 2023 FESTIVAL HAPPENING JUNE 1 - 11",,,,,
Saturday Afternoon Summer Breeze Yacht Party I  Top DJs  | 21 & Over (NYC),"Join us for what will be an afternoon of unforgettable views, drinks, and dancing while taking in some of Manhattan's best sites.",2023-06-03 12:45,2023-06-03 15:45,"2430 FDR Drive New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/saturday-afternoon-summer-breeze-yacht-party-i-top-djs-21-over-nyc-tickets-625399616087,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Intellectual Blonde™ Events,https://www.eventbrite.com/o/intellectual-blondetm-events-15868323119,"NY'S HOTTEST – SATURDAY AFTERNOON YACHT DANCE PARTY 10 YEARS RUNNING!Join us for a dance cruise featuring NYC's Hottest DJs where you can party the afternoon away and take in Manhattan  Landmarks including the Statue of Liberty, Brooklyn Bridge, Manhattan Bridge, Empire State Building & more! P﻿opular with both locals and out-of-town visitors, this series of yacht parties features live DJs spinning hits and classics that will get you and your friends on the dance floor. Get selfie-ready for your photos with the illuminated Manhattan skyline and Lady Liberty as your backdrop. These parties are the perfect setting for your next birthday party, bachelor/ette outing, or anything in between.D﻿ETAILS:2﻿1 & OverLocation:  The Cabana Yacht located at Sky Port Marina: 2430 FDR Dr, New York, NY 10010Board: 12:45pmSail:	   1:30pm (with or without you)All ticket sales are final. No Refunds, no exceptionsDUE TO HIGH VOLUME OF TICKETS BEING SOLD, PLEASE ARRIVE EARLY TO AVOID LONG LINES (PLAN FOR TRAFFIC AND GIVE YOURSELF TIME TO PARK).PLEASE NOTE: YOU ARE RESPONSIBLE FOR FOLLOWING DRESS CODE, ENTRANCE, ATTENDANCE & IDENTIFICATION POLICIES – ENTRY MAY BE DENIED IF GUIDELINES ARE NOT FOLLOWED & A REFUND WILL NOT BE ISSUED IN ANY SCENARIO.ID REQUIRED. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Men Dark Sneakers okay with collared shirt or button up. (NO T-shirts or any athletic wear, unless Hawaiian gear or print).THE DETAILS:Boat: Cabana YachtBoarding: 12:45pm (arrive early and plan for traffic and time to find parking)Sail: 1:30pm (boat will leave with or without you and tickets are non-refundable)Skyport Marina (The Cabana Yacht) located at 2430 FDR Dr, New York, NY 10010ID is a Must. Cash Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck! The party happens rain or shine!",,,,,
LATIN VIBES - DANCE THE WAVE NYC BOOZE SUNSET YACHT PARTY,A yacht party with live music and buffet-style tacos sailing through the East/Hudson River with stunning views of the NYC skyline,2023-06-17 18:00,2023-06-17 22:00,"Skyport Marina Cabana Yacht, 23rd St FDR Drive New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/sat-june-17th-latin-vibes-dance-the-wave-nyc-booze-sunset-yacht-party-tickets-615245775677,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Social Society Group,https://www.eventbrite.com/o/social-society-group-58902016983,"LATIN VIBES - DANCE THE WAVE NYC BOOZE SUNSET YACHT PARTYLooking for a unique and unforgettable way to celebrate your next special occasion? Look no further than Latin Vibes Sunset Yacht Party on the Cabana Yacht! Sail through the East/Hudson River with the most stunning views of the NYC skyline as you indulge in delicious buffet-style tacos and drinks. Get your groove on with the best live music and create memories that will last a lifetime on this one-of-a-kind yacht party!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email thesocialsocietygroup@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Hip Hop, R&B, Latin Music!Large indoor dance floor and indoor seating areasEtiquette:Dress to Impress - TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: thesocialsocietygroup@gmail.com | Visit: www.SocialSocietyGroup.com",,,,,
"AFTERNOON YACHT PARTY NYC! Cabana Boat Party! Sat., June 3rd",4 hours,2023-06-03 13:00,2023-06-03 17:00,"Skyport Marina 2430 FDR Drive New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/afternoon-yacht-party-nyc-cabana-boat-party-sat-june-3rd-tickets-529580057207,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,,,"AFTERNOON NYC YACHT PARTY!!Saturday, June 3rd**1pm - 5pmThe yacht will be sailing. Boarding 12:30 pm , Sail 1pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!Limited tickets available (click tickets to buy yours!)21+ Event. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Hookah available!!NO REFUNDS. ALL SALES FINAL.",,,,,
Juneteenth Jollof N Chill Yacht Party NYC Sunday Fathers day," JollofNChill New York City  NYC in Simmsmovement Culture Clash Soca, Afrobeats, Amapiano, Dancehall & Hip-hop", 2023-06-18 22:30, 2023-06-19 03:00," Cabana Yacht, 2430 Fdr Drive Service Road East New York, NY 10010", New York, FALSE,https://www.eventbrite.com/e/juneteenth-jollof-n-chill-yacht-party-nyc-sunday-fathers-day-tickets-631191840787,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,NYC Chase Simms Simmsmovement event group,https://www.eventbrite.com/o/nyc-chase-simms-simmsmovement-event-group-12071565564,"**** YACHT WILL BE SAILING OUT AT 11:15 PM! ****Limited Tickets are available ** Limited Capacity**What You'll GetA﻿frican Food Available.D﻿Js playing the best in Afrobeats, Reggae, Hip Hop and more.Customers can arrive by 10:30 p.m. for check-in with YachtBottle service priority. Text 646.717.2520 to confirm your Reservation with a Deposit.The Yacht will be Sailing. Boarding 10:30pm, Sail 11:15pm. The Yacht returns to Marina at 3:00 am. Please arrive early so you don't miss the Yacht. NO REFUNDS if you miss it!ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!**** YACHT WILL BE SAILING OUT AT 11:15 PM! ****PLEASE READ AND REVIEW THE TERMS OF SERVICE BY PURCHASING YOU ARE AGREEING TO OUR TERMS OF SERVICEMusic by NYC & International Top DJsVibes of AfroBeats, Reggae, Soca, Dance Hall, Hip Hop, R&B, & MoreHosted by Chase.Simms & Friends",,,,,
Alexis Rockman: Oceanus with Christina Brophy,Artist Alexis Rockman's monumental new series depicting an ominous and complex vision of ocean life affected by humankind,2023-06-08 18:00,2023-06-08 20:00,"Rizzoli Bookstore, 1133 Broadway, New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/alexis-rockman-oceanus-with-christina-brophy-tickets-630358668747,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Rizzoli Bookstore,https://www.eventbrite.com/o/rizzoli-bookstore-11785715523,"O﻿n World Oceans Day, artist Alexis Rockman presents his monumental new series Oceanus  depicting an ominous and complex vision of ocean life affected by humankind. In conversation with Christina Brophy.P﻿LEASE NOTE: This free event is first come, first served; RSVPs are encouraged. Seating is limited. Doors open at 5:30 pm. Can't attend? Preorder your signed copy here.Fueled by an abiding concern with environmental crisis for more than three decades, contemporary artist Alexis Rockman (b. 1962) depicts an ominous and complex vision of ocean life affected by humankind in a monumental new series titled Oceanus. Alexis Rockman: Oceanus takes the viewer on a global journey of discovery beneath the world's changing seas, through the artist's ethereal and sublime renderings of real and imaginary marine life within a fragile ecosystem. Published to accompany an ambitious traveling exhibition in North America and abroad, this volume documents Rockman's newly executed 8 x 24-foot panoramic painting Oceanus and ten related large watercolors, important works that tell the story of humanity's indelible relationship with the ocean and the connections between the sea and our own survival, as the artist deftly weaves natural history, art history, archaeology, adventure, political analysis, and science into a story about the human condition. Complementing this stunning presentation of Rockman's paintings--as well as many details and photographs documenting the artist's process, along with a rich selection of contextual imagery--are essays by leading writers and scholars on such topics as maritime and oceanic history and Rockman's work within the larger context of art history.
Alexis Rockman is a contemporary American painter known for his fantastical paintings of dystopian natural environments. Rockman tackles ecological issues—such as climate change and species extinction—through his large-scale artworks. Part-artist, part-activist, he confronts pressing social issues head on through carefully rendered paintings of animals and their rapidly changing environments.Christina Brophy is Senior Director of Museum Galleries and Senior Vice President of Curatorial Affairs at the Mystic Seaport Museum.",,,,,
SUMMER LATIN VIBES - DANCE THE WAVE NYC BOOZE SUNSET YACHT PARTY,DrinkUpinNYC Presents the Latin Vibes Yacht Party,2023-06-24 18:00,2023-06-24 22:00,"Skyport Marina Cabana Yacht 23rd St FDR Drive New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/summer-latin-vibes-dance-the-wave-nyc-booze-sunset-yacht-party-tickets-615247320297,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,DrinkUpinNYC,https://www.eventbrite.com/o/drinkupinnyc-34068162401,"SUMMER LATIN VIBES - DANCE THE WAVE NYC BOOZE SUNSET YACHT PARTYAre you ready for a night of non-stop partying and breathtaking views of the NYC skyline? Join us on the Cabana Yacht for Latin Vibes on the Water! Indulge in the delectable buffet-style tacos and sip on refreshing drinks as you dance the night away to the beats of the best live music. This yacht party is perfect for any occasion or just a night out with friends. Don't miss out on the most epic party of the year!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email DrinkUpinNYC@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Hip Hop, R&B, Latin Music!Large indoor dance floor and indoor seating areasEtiquette:Dress to Impress - TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: DrinkUpinNYC@gmail.com | Visit: www.DrinkUpinNYC.comDON'T FORGET TO FOLLOW US AT:IG: DrinkUpinNYCTikTok: DrinkUpinNYC",,,,,
DASA  Training,The event is a Dignity for All Students Act (DASA) Training workshop for educator certification or licensure  in New York State.,2023-05-31 08:00,2023-05-31 10:00,"21810 Merrick Blvd # 130202 Laurelton, NY 11413, New York, United States",New York,FALSE,https://www.eventbrite.com/e/dasa-training-tickets-624293618017,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Elite Community Foundation,https://www.eventbrite.com/o/elite-community-foundation-32864612113,"This Dignity for All Students Act (DASA) Training workshop is for educator certification in New York State.  DASA Training addresses harassment, bullying, and discrimination prevention and intervention in schools.  DASA Training is fully self-study online (6 hours) with an instructor.   This training can be completed same day or within 2 weeks of enrollment.This Dignity for All Students Act (DASA) Training workshop is for educator certification in New York State.  DASA Training addresses harassment, bullying, and discrimination prevention and intervention in schools.  DASA Training is fully self-study online (6 hours) with an instructor.   This training can be completed same day or within 2 weeks of enrollment.DASA TRAINING is available 24/7 online or at any time you choose.   This course requires reliable internet connection, speakers, and a laptop, tablet, or desktop computer.  Valid email address is required to receive instructions, course links, and other information. DASA Training content:Introduction to the Dignity ActUnderstanding Diversity, Multi-cultural Environments, and Examining Personal Biases.Developing sensitivity to the experiences of specific student populations.Participants will understand the indicators and early warning signs.Understanding how school climate and culture have an impact on student achievement and behavior.Understanding how school climate and culture have an impact on student achievement and behavior.Participants will learn intervention and prevention strategies including how to interact with families.Reporting requirements for educatorsThe course certificate is generated with the name of the person who purchases this course.  Under no circumstance will the names on certificates be substituted by our staff.  No refunds, access extension available.Certificate of Completion are available immediately (same day) after satisfactory completing the course.  Also, DASA training will be reported to the NYS Education Department electronically and posted in your Teach Account.",,,,,
"SUNSET YACHT PARTY NYC! Cabana Boat Party! Sat., June 17th"," A yacht party with two floors of music and hookah available. Limited tickets are available for purchase. Boarding starts at 5:30 pm, sailing starts at 6 pm. 21+ event", 2023-06-17 18:00, 2023-06-17 22:00," 2430 FDR Drive New York, NY 10010", New York, FALSE,https://www.eventbrite.com/e/sunset-yacht-party-nyc-cabana-boat-party-sat-june-17th-tickets-528416988437,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,,,"SUNSET NYC YACHT PARTY!!Saturday, June 17th**6pm - 10pmThe yacht will be sailing. Boarding 5:30 pm , Sail 6pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!Limited tickets available (click tickets to buy yours!)21+ Event. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Hookah available!!NO REFUNDS. ALL SALES FINAL.",,,,,
Desi Cruise : 4th of July Weekend Bollywood WhiteParty @ Pier 83 NYC,"A one-of-a-kind Bollywood Boat Party, for an opportunity to view New York City from the comfort of multiple climate-controlled decks (indoor and outdoor)",2023-07-01 18:00,2023-07-01 23:00,"Pier 83 Midtown, 12th Avenue & 42nd Street New York, NY 10036",New York,FALSE,https://www.eventbrite.com/e/desi-cruise-4th-of-july-weekend-bollywood-whiteparty-pier-83-nyc-tickets-461521341757,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,DesiSaturdays.Com,https://www.eventbrite.com/o/desisaturdayscom-25188472653,"Price increase warning: Bollywood On The Hudson Advance ticket prices go up significantly (100% +) the closer you get to the event date.Climb aboard a one-of-a-kind Bollywood Boat Party, for an opportunity to view New York City from the comfort of multiple climate-controlled decks (indoor and outdoor). Surrounded by spectacular sights outside and elegant amenities inside, you will glide past many of New York's most legendary landmarks, including the Statue of Liberty, Freedom Tower, Empire State Building and the Brooklyn Bridge.Expect to dance away on our nightclub on the water and take plenty of snaps of the view!Your Cruise Experience Will  Include:Scenic 4 Hour Cruise of the NYC harbor.Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more.Appetizers & Main Course Will Be Available For Purchase.Open-Air deck and climate-controlled indoor cabins.Dj Dharak & Dj BollyBoom playing all styles of Bollywood, Top 40 & more.Paid Parking Available On the Pier (Arrive Early). The dress code is ""White Summer Chic"".Please arrive early so you don't miss the Boat. No Refunds if you miss it!This Event is Strictly For 21 & Over. Proper Physical ID Will Be Required To Board.Event Information:Boarding: 6:00PMDeparture: 7:00 PMEnds: 11:00 PM",,,,,
2023 Iranian Summit @Harvard,"The 2023 Iranian Summit at Harvard will be on Saturday, June 17 at the Harvard Club of New York City. This year, our theme is ""Forward.""",2023-06-17 09:00,2023-06-17 18:00,"Harvard Club of New York City, 35 W 44th St New York, NY 10036",New York,FALSE.,https://www.eventbrite.com/e/2023-iranian-summit-harvard-tickets-628164164927,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,"HIA, HCIA, HKS Persian Caucus, and HISA",https://www.eventbrite.com/o/hia-hcia-hks-persian-caucus-and-hisa-9978840318,"The 2023 Iranian Summit @HarvardSaturday, June 17 at the Harvard Club of New York CityFor the first time, the Iranian Summit at Harvard is not taking place in Cambridge. However, we are still gathering at a Harvard institution. We are very excited to bring the Iranian Summit at Harvard to a new city, and to continue expanding our community and audience. Everyone is invited to attend; no institutional or national affiliation is necessary.The theme of the 2023 Iranian Summit at Harvard is “Forward.” Iranians – inside Iran and in the diaspora - are leading change on many fronts, and we are collectively forging a new path forward. We believe that this is a critical time to convene leaders in the Iranian community and provide a platform to discuss important global issues while also honoring our culture. This year, our panel discussions are centered around key topics such as activism, climate, health, identity, media, and more. The 2023 Iranian Summit’s panels include an exceptional roster of speakers, including writers, scientists, health experts, artists, activists, and leaders who are making a difference.  For information on sponsorship and partnering with us, please visit our website: www.iraniansummit.com.We are looking forward to a wonderful convening in which we hear diverse perspectives, gather insights, and create a greater shared understanding of Iran and Iranian culture. We hope to see you on June 17!",,,,,
Climate Fresk and Dinner at Eat Offbeat (Chelsea Market) - Junel Edition,Play a 3h Climate Change Game and have dinner discovering the best home cooking from around the world made with love by refugee chefs in NY,2023-06-08 17:30,2023-06-08 21:00,"Chelsea Market, 75 9th Avenue New York, NY 10011",New York,TRUE,https://www.eventbrite.com/e/climate-fresk-and-dinner-at-eat-offbeat-chelsea-market-junel-edition-tickets-586113279597,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Climate Fresk Org. hosted by Eat Offbeat,https://www.eventbrite.com/o/climate-fresk-org-hosted-by-eat-offbeat-53609557293,"Want to help tackle climate change but don’t have the time to become a climate scientist? Join us for this fun and informative Game + Dinner night that has already been played by >1 M people worldwide!!In just 3 hours, the collaborative Climate Fresk workshop will teach you the fundamental science behind climate change and empower you to take action. The workshop will take place at Eat Offbeat and will include a full dinner featuring the best home cooking from around the world made with love by refugee chefs in NYC.",,,,,
Afrobeats Vs Caribbean Midnight Yacht Party,Join us  on the Queen Of Hearts for New Jersey's Midnight Yacht Party | Playing the Caribbean & Afrobeats W/ A Splash of Hip-Hop & R&B,2023-07-01 00:00,2023-07-02 04:00,"11 Marin Blvd Jersey City, NJ 07302",Jersey City,FALSE.,https://www.eventbrite.com/e/afrobeats-vs-caribbean-midnight-yacht-party-open-bar-complimentary-food-tickets-628519357317,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Capital Events Marketing Group,https://www.eventbrite.com/o/capital-events-marketing-group-9769672320,"**** YACHT WILL BE SAILING OUT AT 12:15am! ****The Official  Afro-Beats Vs CaribbeanYacht party at The Liberty Harbor Marina Aboard The Queen Of Hearts  located at 11 Marin BLVD, Jersey City, NJ, 07302. Join us at the Hottest Midnight Cruise Yacht Party in with The Hottests Djs while enjoying views of the New York/ Jersey City  SkylinesTickets Are on Sale nowWhat You'll GetCustomers can arrive by 11:45 p.m. for check-in with yachtComplimentary OPEN BAR DURING BOARDING UNTIL WE SAIL (DRINK RESPONSIBLY)Complimentary JERK CHICKEN DURING BOARDING UNTIL WE SAILBottle service Available Starting at 2 Bottles for $600The yacht will be sailing. Boarding 11:45pm, Sail 12:00am. The Yacht returns to Marina at 3:30am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!ID is a Must. Drinks Bar onboard. 3 Floors of music with climate-controlled Main Floor & Upper Deck!Temperature readings upon entry so we can create a safe haven for our attendees!For more ticket information on   The Midnight Yacht Cruise call/ or text 646-623-6619**** YACHT WILL BE SAILING OUT AT 12:00AM! ****",,,,,
Manhattan Sunset Cruise at Skyport NYC,A Sunday boat cruise on the Hudson River with breathtaking views of Manhattan's skyline and famous landmarks,2023-06-04 18:00,2023-06-04 22:00,"2430 FDR Dr. East Service Road New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/manhattan-sunset-cruise-at-skyport-nyc-sunday-6pm-tickets-596132707977,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,"PlentyofParties - Rooftops, Happy Hours, & More",https://www.eventbrite.com/o/plentyofparties-rooftops-happy-hours-amp-more-18245241891,"Important Information:Boat: Depending on the date: Cabana Yacht,  Avalon Yacht or Jewel YachtBoarding: 5:45pmSail: 6:30pmTickets are non-refundableSunday Sunset Cruise| Sailing the Hudson Boat CruisePlease be aware of which boat line you are on. There may be several different boats departing at the same time so please make sure you are on the right line. Join us for a breathtaking Sunday boat cruise on the Hudson River, departing from the Skyport Marina, located at 2430 FDR Drive, New York, NY 10010. Experience the stunning beauty of Manhattan's skyline and famous landmarks such as the Statue of Liberty, Brooklyn Bridge, Manhattan Bridge, Empire State Building, and many more, all from the comfort of our luxurious vessel.The event will begin boarding 15 minutes before the start time, so be sure to arrive early to ensure a smooth and stress-free embarkation. Once aboard, you'll have the opportunity to sit back, relax, and enjoy the picturesque views of the city that never sleeps.Our cruise is the perfect way to unwind and take in the sights after a busy week, with plenty of opportunities to snap some Instagram-worthy photos and make unforgettable memories with friends and loved ones. Whether you're a first-time visitor or a seasoned New Yorker, our cruise promises to be an unforgettable experience that you won't want to miss.Don't miss out on this one-of-a-kind opportunity to experience the beauty and grandeur of Manhattan from a new perspective. Book your tickets now and get ready for an unforgettable Sunday boat cruise on the Hudson River!Event Dates & Boats:May:May 14, 2023 06:00pm (Jewel)  May 28, 2023 06:00pm (Avalon)June:Jun 04, 2023 06:00pm (Jewel)Jun 11, 2023 06:00pm (Cabana)Jun 18, 2023 06:00pm (Cabana)Jun 25, 2023 06:00pm (Avalon)July:Jul 02, 2023 06:00pm (Cabana) Jul 16, 2023 06:00pm (Jewel)Jul 30, 2023 06:00pm (Jewel) Aug:Aug 13, 2023 06:00pm (Jewel)Aug 27, 2023 06:00pm (Jewel)Sept:Sep 03, 2023 06:00pm (Cabana)What You'll GetCustomers please arrive early for check-in with yachtBottle service priorityFull name & email for priority reservation seating.The yacht will be sailing. Boarding 5:45pm, Sail 6:30pm. The Yacht returns to Marina at 9:30pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it.ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Your ticket reserves a spot on the boat. No refunds for this ticketed event.For more events, check out:http://plenty-of-parties.eventbrite.com",,,,,
